name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion
Assumption College,2719,Massachusetts,0.6189775652813534,0.0018389113644722325,0.02096358955498345,0.04928282456785583,0.06583302684810592,0.000735564545788893,0.7006252298639205,0.01986024273630011,0.01471129091577786
Athens State University,3128,Alabama,0.6540920716112532,0.015345268542199489,0.005434782608695652,0.1265984654731458,0.02014066496163683,0.0009590792838874681,0.774616368286445,0.017263427109974423,0.005434782608695652
Athens Technical College,4336,Georgia,0.6540590405904059,0.0018450184501845018,0.021448339483394835,0.21171586715867158,0.050046125461254615,0.0011531365313653136,0.6448339483394834,0.003920664206642066,0.004612546125461255
Atlanta Metropolitan State College,2977,Georgia,0.6684581793752099,0.001007725898555593,0.00705408128988915,0.9227410144440712,0.01713134027544508,0.0023513604299630502,0.01813906617400067,0.018474974806852538,0.007389989922741014
Atlanta Technical College,4282,Georgia,0.657169546940682,0.0021018215787015414,0.007940214852872489,0.9264362447454461,0.019850537132181222,0.0009341429238673517,0.02358710882765063,0.008407286314806165,0.005604857543204111
Atlantic Cape Community College,6845,New Jersey,0.5848064280496713,0.0055514974433893355,0.08049671292914536,0.1462381300219138,0.16303871439006573,0.003214024835646457,0.4781592403214025,0.013586559532505479,0.010810810810810811
Auburn University,25912,Alabama,0.49390243902439024,0.0070623649274467425,0.02319388700216116,0.07278481012658228,0.023116702686014203,0.0,0.8048394566224143,0.0,0.0550710095708552
Auburn University at Montgomery,5057,Alabama,0.6393118449673719,0.004548151077714059,0.02056555269922879,0.32291872651769826,0.007118845165117659,0.0017797112912794147,0.5086019379078505,0.026893415068222265,0.04528376507810955
Augsburg College,3548,Minnesota,0.580608793686584,0.012119503945885006,0.06228861330326945,0.0963923337091319,0.05411499436302142,0.0002818489289740699,0.596674182638106,0.021702367531003384,0.018602029312288614
Augusta Technical College,4269,Georgia,0.5736706488639025,0.004450691028343875,0.014054813773717497,0.4867650503630827,0.029515108924806747,0.0016397282736003748,0.41531974701335206,0.022487702037947997,0.0014054813773717498
Augusta University,7988,Georgia,0.6233099649474211,0.003129694541812719,0.06259389083625438,0.21119178768152227,0.04982473710565849,0.002754131196795193,0.5781171757636455,0.041061592388582875,0.018903355032548825
Augustana College (Ill.),2497,Illinois,0.5802963556267521,0.0016019223067681217,0.01922306768121746,0.04124949939927913,0.09451341609931918,0.0008009611533840609,0.7549058870644774,0.0368442130556668,0.031637965558670406
Aurora University,5084,Illinois,0.6801730920535012,0.003737214791502754,0.01907946498819827,0.08851298190401259,0.18233674272226594,0.0001966955153422502,0.6372934697088907,0.01809598741148702,0.0017702596380802518
Austin Community College,40949,Texas,0.5562528999487167,0.00818090795868031,0.04774231360961196,0.07304207672959047,0.3025226501257662,0.0018803877994578622,0.4567632909228553,0.027644142714107794,0.031820068866150575
Austin Peay State University,10111,Tennessee,0.6042923548610424,0.003956087429532192,0.015527643160913856,0.18811195727425575,0.05686875679952527,0.0018791415290277916,0.6564138067451291,0.050835723469488676,0.004252793986747107
Azusa Pacific University,9972,California,0.6749899719213799,0.003309265944645006,0.10158443642198155,0.057260328920978744,0.24538708383473726,0.008824709185720016,0.44203770557561173,0.04402326514239872,0.0293822703569996
Babson College,3049,Massachusetts,0.4280091833387996,0.0013119055428009183,0.0898655296818629,0.03902918989832732,0.08002623811085602,0.0006559527714004591,0.39160380452607413,0.019022630370613317,0.29977041653000985
Bainbridge State College,2470,Georgia,0.7064777327935222,0.0020242914979757085,0.0036437246963562753,0.5133603238866397,0.032388663967611336,0.0008097165991902834,0.42834008097165993,0.010121457489878543,0.0016194331983805667
Baker College Center For Graduate Studies,4530,Michigan,0.6492273730684327,0.004635761589403974,0.009271523178807948,0.14944812362030904,0.023620309050772628,0.0033112582781456954,0.7483443708609272,0.04370860927152318,0.0
Baker College of Allen Park,3372,Michigan,0.7479240806642942,0.0029655990510083037,0.010972716488730723,0.31287069988137606,0.06791221826809016,0.0014827995255041518,0.5711743772241993,0.03262158956109134,0.0
Baker College of Auburn Hills,2703,Michigan,0.7221605623381429,0.005179430262671106,0.021087680355160933,0.1461339252682205,0.0340362560118387,0.007029226785053644,0.7602663706992231,0.02626711061783204,0.0
Baker College of Clinton Township,3625,Michigan,0.6915862068965517,0.003586206896551724,0.016,0.2615172413793104,0.016551724137931035,0.004137931034482759,0.6673103448275862,0.025379310344827585,0.0
Baker College of Flint,3726,Michigan,0.6296296296296297,0.004562533548040795,0.005367686527106817,0.1972624798711755,0.02147074610842727,0.001878690284487386,0.7262479871175523,0.033011272141706925,0.0
Baker College of Muskegon,3481,Michigan,0.7087043952887101,0.0037345590347601263,0.0068945705257110025,0.10313128411376041,0.046825624820453896,0.0017236426314277506,0.7871301350186728,0.04998563631140477,0.0
Baker College of Owosso,2512,Michigan,0.5835987261146497,0.003980891719745223,0.005971337579617835,0.02945859872611465,0.02109872611464968,0.0007961783439490446,0.9140127388535032,0.024681528662420384,0.0
Baker University,2957,Kansas,0.5847142374027731,0.01826175177544809,0.014541765302671627,0.0950287453500169,0.04971254649983091,0.0037199864727764627,0.7419682110246871,0.013189042948934731,0.008116334122421373
Bakersfield College,18698,California,0.560808642635576,0.0039041608728206225,0.03684886084073163,0.04000427853246336,0.6561664349128249,0.001016151460049203,0.2223767247833993,0.031607658573109425,0.0025671194780190394
Baldwin Wallace University,3979,Ohio,0.5566725307866298,0.0010052777079668257,0.014576526765518974,0.08218145262628801,0.04749937170143252,0.0007539582809751194,0.7974365418446846,0.034179442070872076,0.015079165619502387
Ball State University,20655,Indiana,0.6070200919874122,0.0012587751149842653,0.010409101912369887,0.06671508109416606,0.03350278382958122,0.0011619462599854757,0.7875574921326556,0.01989832970225127,0.03839264100702009
Baltimore City Community College,5024,Maryland,0.6896894904458599,0.0021894904458598726,0.0240843949044586,0.7914012738853503,0.0276671974522293,0.0023885350318471337,0.07643312101910828,0.019904458598726114,0.03722133757961783
Bard College,2469,New York,0.5621709194005671,0.005670311867152693,0.04657756176589713,0.06156338598622924,0.012555690562980963,0.0,0.5609558525718914,0.0,0.11502632644795464
Barnard College,2573,New York,0.998056743101438,0.000388651379712398,0.14263505635445006,0.06529343179168286,0.11115429459774583,0.000388651379712398,0.5476097940147687,0.051690633501748934,0.07462106490478042
Barry University,8518,Florida,0.6561399389528059,0.003287156609532754,0.021366517961962903,0.245362761211552,0.2385536510918056,0.001408781404085466,0.23280112702512326,0.010213665179619628,0.06691711669405964
Barton County Community College,5292,Kansas,0.49111866969009826,0.006802721088435374,0.03949357520786092,0.12849584278155707,0.10015117157974301,0.008881330309901738,0.6721466364323507,0.015873015873015872,0.0045351473922902496
Bates Technical College,2907,Washington,0.5046439628482973,0.024423804609563123,0.048847609219126245,0.08978328173374613,0.07223942208462332,0.011007911936704506,0.5696594427244582,0.006535947712418301,0.0010319917440660474
Baton Rouge Community College,7740,Louisiana,0.5918604651162791,0.0031007751937984496,0.01925064599483204,0.42157622739018086,0.031136950904392766,0.0015503875968992248,0.4011627906976744,0.02054263565891473,0.019896640826873386
Bay De Noc Community College,2024,Michigan,0.6363636363636364,0.030138339920948616,0.005434782608695652,0.003952569169960474,0.015316205533596838,0.0024703557312252965,0.8819169960474308,0.03162055335968379,0.0
Bay Path College,2587,Massachusetts,0.9509083880943178,0.0015461925009663702,0.018554310011596443,0.11364514882102822,0.12408194820255122,0.0011596443757247777,0.6165442597603401,0.021260146888287593,0.007730962504831852
Baylor University,16263,Texas,0.5627498001598721,0.003812334747586546,0.057738424644899464,0.06942138596814856,0.13195597368259238,0.0005534034311012728,0.6422554264280883,0.04298099981553219,0.042058660763696736
