total_enrollment,women_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,in_state_total,out_of_state_total
3712,0.5285560344827587,0.091594828,52900,17,14748,Private,40920,40920
16963,0.4146672168838059,0.2286741732004951,79000,51,4501,Private,67117,67117
4137,0.5622431713802272,0.051003142,47000,7,17819,Private,59082,59082
6125,0.2837551020408163,0.3095510204081633,75100,79,19347,Private,67446,67446
4322,0.6640444238778344,0.006015733,50400,15,16521,Private,49312,49312
8570,0.609218203,0.003500583,47400,16,16678,Public,26021,33148
2284,0.5923817863397548,0.007880911,55900,18,23080,Private,58746,58746
2146,0.5643056849953402,0.047064306,48700,16,18622,Private,43728,43728
9027,0.6102802703002105,0.097263764,47200,14,7821,Public,15814,29170
11339,0.4455419349148955,0.1101508069494664,53100,28,9163,Public,18839,35495
10033,0.592046247,0.051928636,56000,9,18908,Private,59754,59754
35158,0.4594117981682689,0.079782695,56800,22,14881,Public,20575,33025
22285,0.6198339690374691,0.024411039,51200,15,8250,Public,22974,36242
2606,0.6020721412125863,0.008058327,45300,5,18611,Private,33998,33998
2831,0.4214058636524196,0.053338043,55100,26,17936,Private,42985,42985
2432,0.53125,0.069078947,54900,27,13993,Private,56440,56440
19041,0.6274880520981041,0.034241899,44500,8,11235,Public,20645,31060
6248,0.6006722151088348,0.064180538,47900,16,6906,Public,16509,23361
10907,0.5446960667461264,0.1078206656275786,65200,25,10742,Private,70942,70942
3103,0.5978085723493394,0.006445375,54500,30,25876,Private,31820,31820
18698,0.6037009305808108,0.035565301,48600,17,12457,Public,17110,31030
42236,0.5183019225305426,0.087508287,56100,23,10664,Public,25037,48936
11645,0.595276943,0.041219407,45600,13,9293,Public,17896,30136
3854,0.5973015049299429,0.004411002,43500,2,9582,Public,14520,20370
2513,0.5407879029048945,0.013529646,40500,22,8826,Public,15723,21975
5191,0.6097091119244847,0.240994028,49900,31,22344,Private,46710,46710
11698,0.6108736536160028,0.049153701,44900,8,8879,Public,15605,22128
60767,0.5509898464627182,0.024931295,49700,16,9318,Public,15985,32084
13379,0.5343448688242769,0.1419388594065326,46900,45,11280,Public,16439,23208
16840,0.5906769596199525,0.08847981,45300,8,9099,Public,15458,26346
2111,0.5490288962576978,0.063003316,44600,4,12042,Private,40080,40080
15097,0.4200172219646287,0.2153407961846724,64000,22,13267,Private,74580,74580
26541,0.5033344636599978,0.1017293997965412,59100,24,9312,Public,28604,50972
2548,0.4689952904238618,0.1149921507064364,53000,16,24484,Private,53052,53052
11343,0.4770342942784096,0.1565723353610156,57400,33,21294,Private,56480,56480
22680,0.5624779541446208,0.088580247,58600,22,10463,Public,26542,47172
11809,0.5630451350664747,0.1068676433228893,55700,12,23986,Private,63561,63561
4945,0.5967644084934277,0.1164812942366026,51800,13,22174,Private,37496,37496
2121,0.4389438943894389,0.027817067,44200,7,11972,Private,44040,44040
2567,0.5633034670821971,0.1266069341643942,50300,17,14431,Private,48876,48876
49459,0.5422673325380618,0.086839605,55800,29,7061,Public,16501,38778
35197,0.5760718243032077,0.04940762,54400,14,8122,Public,21868,40442
6817,0.5134223265365997,0.070998973,55200,15,24363,Private,53170,53170
3924,0.6060142711518859,0.042303772,44000,14,8239,Public,19126,32086
40914,0.4933274673705822,0.098377084,56000,24,9648,Public,22776,38226
11702,0.4684669287301316,0.061015211,52300,22,11184,Public,16744,34380
27969,0.536665594,0.092817047,56300,31,9813,Public,25838,39054
45140,0.4490695613646433,0.2206690296854231,62600,36,8626,Public,26402,42972
5442,0.6727306137449467,0.077912532,47300,5,16627,Private,39976,39976
29970,0.5158825492158825,0.1238905572238905,54100,16,9132,Public,20439,42405
27180,0.5132450331125827,0.089624724,53000,16,12964,Public,21498,37708
29203,0.5280279423346916,0.059959593,51700,19,9472,Public,25227,42081
17195,0.5583599883687118,0.039139285,48200,19,3854,Public,19132,32860
8517,0.6394270282963485,0.031114242,48500,7,6986,Public,16584,28684
21561,0.5156532628356755,0.028616483,49500,18,8246,Public,20882,36504
11286,0.5098351940457203,0.048378522,52000,24,12363,Public,21588,41388
2809,0.6539693841224635,0.016731933,46400,3,10051,Private,25610,25610
